Ticker,Quantidade,Setor,Data de atualização,Valor Atual,PAYOUT,LPA,VPA,P/L,P/VP,P/SR,ROE,ROA,EBITDA,Margem bruta,Margem líquida,Margem EBITDA,Margem operacional,P/CF,Liquidez corrente,Liquidez imediata,Liquidez seca,Giro do ativo,Endividamento geral,Ativo por ação,Dívida bruta,Dívida líquida,Capital de giro,Receita líquida por ação,EBIT por ação,Margem EBIT
ABCB4,,,2025-04-25 17:42:55,21.3700008392334,31.57%,3.97,26.11,5.26,0.8,,15.21,0.01,,15.68,9.6,,11.55,,,,,0.14,,293.09,,,,41.37,,
AGRO3,,,2025-04-25 17:43:05,21.559999465942383,55.78%,2.73,21.45,8.03,1.02,,12.74,0.07,452.0,39.35,22.21,35.79,18.09,,1.69,0.04,1.41,0.32,78.85,38.37,1.249,1.201,448.0,12.3,3.52,28.63
RAIL3,,,2025-04-25 17:43:18,19.68000030517578,12.07%,0.52,7.94,38.54,2.51,,6.36,0.02,4.732,45.94,6.81,33.96,1.07,,1.63,1.12,1.59,0.28,238.75,27.28,19.123,11.661,4.203,7.51,1.31,17.43
ALPA3,,,2025-04-25 17:43:28,7.190000057220459,0.00%,0.16,5.91,44.47,1.19,,2.66,0.02,254.0,43.15,2.61,6.19,1.55,,2.56,1.1,2.04,0.6,69.45,10.01,1.423,65.0,2.109,6.01,0.07,1.25
ALPA4,,,2025-04-25 17:43:41,7.389999866485596,0.00%,0.16,5.91,46.43,1.24,,2.66,0.02,254.0,43.15,2.61,6.19,1.55,,2.56,1.1,2.04,0.6,69.45,10.01,1.423,65.0,2.109,6.01,0.07,1.25
ALSO3,,,2025-04-25 17:44:03,,0,,,,,,,,,,,,,,,,,,,,,,,,,
AMAR3,,,2025-04-25 17:44:16,1.409999966621399,0.00%,0.61,0.55,2.31,2.56,,110.95,0.17,5.0,49.1,22.68,0.34,17.62,,0.65,0.1,0.36,0.73,569.08,3.71,639.0,547.0,309.0,2.71,0.08,3.13
ABEV3,,,2025-04-25 17:44:28,14.09000015258789,73.13%,0.92,6.26,15.45,2.26,,14.91,0.09,28.932,51.24,16.6,32.34,21.79,,1.1,0.58,0.86,0.55,63.19,10.31,3.452,26.385,4.767,5.68,1.38,24.38
ADHM3,,,2025-04-25 17:44:41,,0,,,,,,,,,,,,,,,,,,,,,,,,,
ARZZ3,,,2025-04-25 17:44:56,,0,,,,,,,,,,,,,,,,,,,,,,,,,
BBAS3,,,2025-04-25 17:45:09,28.010000228881836,46.09%,6.15,31.56,4.5,0.88,,19.49,0.01,,20.21,12.67,,13.63,,,,,0.12,,417.99,,,,48.57,,
BBDC3,,,2025-04-25 17:45:21,11.970000267028809,49.22%,1.8,15.15,6.61,0.79,,11.89,0.01,,14.89,9.26,,6.43,,,,,0.12,,159.89,,,,19.45,,
BBDC4,,,2025-04-25 17:45:30,13.380000114440918,54.15%,1.8,15.15,7.41,0.88,,11.89,0.01,,14.89,9.26,,6.43,,,,,0.12,,159.89,,,,19.45,,
BBRK3,,,2025-04-25 17:45:43,,0,,,,,,,,,,,,,,,,,,,,,,,,,
BEEF3,,,2025-04-25 17:45:53,7.829999923706055,0.00%,2.57,0.79,2.92,9.52,,,0.04,3.096,20.56,4.59,9.09,4.42,,1.48,0.46,1.23,0.81,,69.39,30.082,15.621,7.883,56.1,4.0,7.13
BPHA3,,,2025-04-25 17:46:04,,0,,,,,,,,,,,,,,,,,,,,,,,,,
BPAN4,,,2025-04-25 17:46:16,7.539999961853027,38.95%,0.61,6.64,12.38,1.13,,9.16,0.01,,46.32,4.71,,5.05,,1.1,,,0.25,,52.51,,,2.462,12.92,,
BRAP3,,,2025-04-25 17:46:26,16.670000076293945,47.11%,3.03,21.58,5.6,0.79,,14.05,0.14,,,,,,,2.97,2.37,2.97,0.0,1.46,21.9,,,239.0,0.0,2.89,
BRAP4,,,2025-04-25 17:46:39,17.59000015258789,51.82%,3.03,21.58,5.91,0.83,,14.05,0.14,,,,,,,2.97,2.37,2.97,0.0,1.46,21.9,,,239.0,0.0,2.89,
BRFS3,,,2025-04-25 17:46:51,22.899999618530273,36.30%,1.91,8.97,11.52,2.45,,22.38,0.06,8.846,25.8,6.01,14.41,8.23,,1.48,0.54,1.16,0.98,279.87,37.25,20.74,8.681,10.009,36.48,4.07,11.14
APER3,,,2025-04-25 17:47:07,,0,,,,,,6.22,0.03,45.0,100.0,8.24,12.75,9.43,,1.03,0.03,1.03,0.38,99.04,,188.0,64.0,8.0,,,6.6
BRKM3,,,2025-04-25 17:47:20,11.359999656677246,0.00%,14.2,6.0,0.8,1.9,,281.72,0.12,3.871,7.75,15.57,5.0,22.91,,1.31,0.53,0.83,0.76,,127.41,53.232,36.46,8.765,97.1,1.35,1.39
BRKM5,,,2025-04-25 17:47:33,11.289999961853027,0.00%,14.2,6.0,0.82,1.94,,281.72,0.12,3.871,7.75,15.57,5.0,22.91,,1.31,0.53,0.83,0.76,,127.41,53.232,36.46,8.765,97.1,1.35,1.39
BRML3,,,2025-04-25 17:47:47,,0,,,,,,5.5,0.03,1.072,89.14,43.15,68.3,46.71,,1.0,0.01,1.0,0.08,66.47,,3.565,2.42,3.0,,,62.18
BRPR3,,,2025-04-25 17:47:59,,0,,,,,,9.55,0.07,297.0,100.0,123.98,338.97,192.73,,1.12,0.57,1.12,0.06,39.17,,82.0,80.0,35.0,,,336.36
BRSR6,,,2025-04-25 17:48:10,11.25,28.62%,2.24,25.45,4.93,0.43,,8.8,0.01,,35.76,5.32,,6.38,,,,,0.12,,359.31,,,,42.1,,
OIBR3,,,2025-04-25 17:48:19,0.6000000238418579,0.00%,29.11,49.43,0.02,0.01,,59.01,0.49,1.169,45.74,302.16,36.74,321.47,,1.0,0.19,0.98,0.16,221.33,59.86,11.954,10.201,30.0,9.63,5.93,61.51
OIBR4,,,2025-04-25 17:48:33,7.300000190734863,0.00%,29.11,49.43,0.27,0.16,,59.01,0.49,1.169,45.74,302.16,36.74,321.47,,1.0,0.19,0.98,0.16,221.33,59.86,11.954,10.201,30.0,9.63,5.93,61.51
BTOW3,,,2025-04-25 17:48:49,,0,,,,,,,,,,,,,,,,,,,,,,,,,
B3SA3,,,2025-04-25 17:48:58,13.390000343322754,43.76%,0.87,3.49,15.27,3.8,,24.9,0.1,6.617,89.98,43.29,62.59,57.92,,1.66,0.18,1.66,0.23,146.03,8.59,13.228,72.0,6.027,2.01,1.15,57.18
CAMB4,,,2025-04-25 17:49:14,,0,,,,,,,,,,,,,,,,,,,,,,,,,
CARD3,,,2025-04-25 17:49:29,,0,,,,,,,,,,,,,,,,,,,,,,,,,
CCPR3,,,2025-04-25 17:49:44,,0,,,,,,,,,,,,,,,,,,,,,,,,,
CCRO3,,,2025-04-25 17:49:54,13.199999809265137,56.93%,0.62,6.74,21.14,1.94,,9.37,0.02,7.004,33.68,6.02,32.16,10.73,,1.7,0.68,1.62,0.37,322.06,29.26,33.878,27.169,4.309,10.78,2.69,24.92
CEDO4,,,2025-04-25 17:50:06,20.979999542236328,0.00%,11.05,30.9,1.9,0.68,,35.61,0.12,188.0,29.63,10.67,18.18,7.92,,1.24,0.02,0.62,1.1,203.95,94.41,380.0,364.0,73.0,103.68,16.52,15.94
CEED3,,,2025-04-25 17:50:16,,0.00%,6.43,53.01,1.71,0.21,,12.13,0.05,442.0,19.67,8.22,8.29,9.14,,1.15,0.04,1.14,0.65,326.98,120.32,5.705,4.819,329.0,78.24,4.17,5.33
