Ticker,Quantidade,Setor,Data de atualização,valor_atual,PAYOUT,LPA,VPA,P/L,P/VP,P/SR,ROE,ROA,EBITDA,Margem bruta,Margem líquida,Margem EBITDA,Margem operacional,P/CF,Liquidez corrente,Liquidez imediata,Liquidez seca,Giro do ativo,Endividamento geral,Ativo por ação,Dívida bruta,Dívida líquida,Capital de giro,Receita líquida por ação,EBIT por ação,Margem EBIT
ABCB4,100,,2024-04-07 20:55:03,24.459999084472656,"31,96%",3.59,24.78,6.81,0.99,1.07,14.5,0.01,,24.69,15.65,,18.06,,,,,0.09,,252.37,,,,22.97,,
AGRO3,100,,2024-04-07 20:55:07,24.889999389648438,"121,05%",2.85,19.24,8.73,1.29,2.11,13.34,0.08,314.0,29.37,21.72,25.95,22.0,13.99,2.25,0.4,1.93,0.37,66.1,31.96,1.047,827.0,609.0,11.82,2.2,18.66
RAIL3,100,,2024-04-07 20:55:11,22.450000762939453,"12,72%",0.39,8.45,57.86,2.66,3.81,4.55,0.01,5.65,37.48,6.6,51.66,8.4,7.64,1.87,1.32,1.83,0.22,210.24,26.55,18.964,11.73,4.774,5.9,1.87,31.77
ALPA3,100,,2024-04-07 20:55:16,10.0,"0,00%",2.73,5.46,3.51,1.76,1.75,50.1,0.3,1.778,40.07,50.01,47.61,55.83,17.63,3.25,0.94,2.24,0.59,69.75,9.26,1.485,563.0,2.214,5.47,2.91,53.26
ALPA4,100,,2024-04-07 20:55:21,9.59000015258789,"0,00%",2.73,5.46,3.51,1.76,1.75,50.1,0.3,1.778,40.07,50.01,47.61,55.83,17.63,3.25,0.94,2.24,0.59,69.75,9.26,1.485,563.0,2.214,5.47,2.91,53.26
AMAR3,100,,2024-04-07 20:55:35,1.809999942779541,"0,00%",7.34,0.2,0.25,9.13,0.07,,0.2,198.0,47.77,30.37,11.91,35.97,0.44,0.75,0.05,0.66,0.66,,36.45,807.0,715.0,433.0,24.16,5.89,24.36
ABEV3,100,,2024-04-07 20:55:41,12.229999542236328,"79,75%",0.92,5.01,13.29,2.44,2.42,18.67,0.11,24.659,50.72,18.76,30.93,18.86,7.8,0.89,0.39,0.66,0.6,65.51,8.42,3.501,12.836,4.442,5.06,1.18,23.38
ADHM3,100,,2024-04-07 20:55:45,1.559999942779541,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
ARZZ3,100,,2024-04-07 20:55:50,56.58000183105469,"55,02%",3.6,26.21,15.72,2.16,1.3,13.61,0.07,781.0,54.24,8.23,16.13,7.76,15.22,1.27,0.03,0.91,0.81,104.02,53.84,1.081,331.0,622.0,43.67,5.03,11.53
BBAS3,100,,2024-04-07 20:55:56,57.0099983215332,"23,69%",11.73,57.11,4.86,1.0,0.65,20.54,0.02,,21.1,13.27,,15.61,,,,,0.11,,770.59,,,,88.38,,
BBDC3,100,,2024-04-07 20:56:01,12.890000343322754,"44,49%",1.42,15.15,10.22,0.96,0.84,9.38,0.01,,11.93,8.2,,2.62,,,,,0.12,,149.24,,,,17.33,,
BBDC4,100,,2024-04-07 20:56:07,14.520000457763672,"63,03%",1.42,15.15,10.22,0.96,0.84,9.38,0.01,,11.93,8.2,,2.62,,,,,0.12,,149.24,,,,17.33,,
BEEF3,100,,2024-04-07 20:56:18,6.619999885559082,"76,78%",0.69,0.29,9.55,23.05,0.15,59.97,0.01,2.562,20.5,1.47,9.53,1.27,1.49,1.86,0.41,1.65,0.94,,47.09,21.556,8.878,8.389,44.28,3.38,7.62
BPHA3,100,,2024-04-07 20:56:22,0.6200000047683716,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
BPAN4,100,,2024-04-07 20:56:27,9.119999885559082,"39,11%",0.55,6.39,16.65,1.43,0.74,8.57,0.01,,49.56,4.46,,5.19,4.55,0.94,,,0.26,,46.37,,,1.646,12.28,,
BRAP3,100,,2024-04-07 20:56:32,19.829999923706055,"39,28%",4.82,19.93,4.23,1.02,,24.21,0.24,1.828,,,,,8.12,4.4,4.4,4.4,0.0,0.72,20.07,,,190.0,0.0,4.65,
BRAP4,100,,2024-04-07 20:56:37,20.420000076293945,"43,21%",4.82,19.93,4.23,1.02,,24.21,0.24,1.828,,,,,8.12,4.4,4.4,4.4,0.0,0.72,20.07,,,190.0,0.0,4.65,
BRFS3,100,,2024-04-07 20:56:42,16.170000076293945,"0,00%",1.21,8.87,13.41,1.82,0.51,11.95,0.03,4.06,16.48,3.49,7.57,3.7,6.91,1.34,0.48,1.0,0.94,266.1,34.04,20.095,10.383,6.563,31.87,0.5,1.56
APER3,100,,2024-04-07 20:56:48,43.0099983215332,"34,42%",0.57,40.86,75.18,1.05,1.55,1.48,0.01,47.0,100.0,2.17,14.82,4.94,12.3,0.74,0.03,0.74,0.39,75.32,71.6,50.0,11.0,54.0,27.8,2.39,8.58
BRKM3,100,,2024-04-07 20:56:52,24.969999313354492,"0,00%",0.01,0.01,,,290.56,138.15,0.05,2.0,4.28,6.42,3.93,8.26,,1.53,0.58,1.02,0.77,,0.12,42.0,23.0,12.0,0.09,0.0,3.45
BRKM5,100,,2024-04-07 20:56:58,25.719999313354492,"0,00%",0.01,0.01,,,290.56,138.15,0.05,2.0,4.28,6.42,3.93,8.26,,1.53,0.58,1.02,0.77,,0.12,42.0,23.0,12.0,0.09,0.0,3.45
BRPR3,100,,2024-04-07 20:57:10,131.1699981689453,"295,84%",242.74,,0.54,0.05,0.67,9.55,0.07,297.0,100.0,123.98,338.97,192.73,0.48,1.12,0.57,1.12,0.06,39.17,,82.0,80.0,35.0,195.79,658.57,336.36
BRSR6,100,,2024-04-07 20:57:15,13.369999885559082,"32,07%",2.13,23.63,6.28,0.57,0.35,9.01,0.01,,33.39,5.54,,6.26,,,,,0.13,,304.03,,,,38.39,,
OIBR3,100,,2024-04-07 20:57:21,0.6299999952316284,"0,00%",8.22,41.37,0.08,0.02,0.04,19.89,0.21,254.0,4.46,55.85,2.61,72.09,0.15,0.54,0.13,0.53,0.37,195.75,39.56,25.485,23.302,6.51,14.72,2.73,18.58
OIBR4,100,,2024-04-07 20:57:26,1.8600000143051147,"0,00%",8.22,41.37,0.08,0.02,0.04,19.89,0.21,254.0,4.46,55.85,2.61,72.09,0.15,0.54,0.13,0.53,0.37,195.75,39.56,25.485,23.302,6.51,14.72,2.73,18.58
